# expandmorphsegmentations.pl, Mon May  1 11:09:58 2017
# Working dir: /home/ddubois/PycharmProjects/voynich-translation
# Input file: viterbitagsplit2.iii.tagged.gz.tmp
# -full: OFF
# -showstruct: OFF
2 120/STM
5 ४/STM
4 १६/STM
1 traits/STM
2 Åij/STM
1 अगर/STM
33 सम/STM + य/STM
8 of/STM
4 fgod/STM
12 d/STM
1 १९/STM + ९/STM + २/STM
1 13/STM
1 ४०/STM
2 च/STM
1 in/STM + ductive/STM
1 Wilhelm/STM
1 १०/STM + ०/STM
1 Leipzig/STM
2 xSals/STM
2 ylnkj/STM
6 rjg/STM
1 १९/STM + ८/STM + ६/STM
2 dgykrs/STM
18 ij/STM
1 regression/STM
2 human/STM
2 VsQk/STM
1 past/STM
1 evolutionary/STM
15 १/STM
190 एक/STM
1 ५०/STM
2 fudyk/STM
4 foLQksV/STM
3 १९/STM + ५/STM + ६/STM
2 process/STM + es/STM
8 g/STM
6 ckny/STM
4 O/STM
1 quantitative/STM
1 15/STM
1 ९०००/STM
1 लव/STM
1 degree/STM
1 शक/STM
1 Bombay/STM
4 आई/STM
4 blesa/STM
1 gatherer/STM
2 रत/STM
2 श/STM + हर/STM
2 ySdksfyFk/STM
1 अकबर/STM
1 Psycho/STM + metric/STM
29 इन/STM
1 क/STM
1 ऊ/STM + पर/STM
4 izdzdzdkj/STM
1 घर/STM
58 Tokykeq/STM
1 nature/STM
1 May/STM
2 rc/STM
2 नई/STM
2 kjk/STM
1 १४/STM
2 gh/STM
2 about/STM
4 ftlls/STM
1 १९/STM + ४/STM + ७/STM
1 २०/STM + ११/STM
1 AIR/STM
1 perfect/STM
1 Emo/STM + tional/STM
3 School/STM
2 mM/STM
2 clinical/STM
1 information/STM
2 dsUnzh/STM
4 fd/STM
1 Set/STM
1 determinism/STM
1 चर/STM
4 rqYqYqY/STM
2 1796/STM
2 ३१/STM
2 ह/STM + बल/STM
10 okys/STM
1 १७२०/STM
1 सर/STM
24 kd/STM
1 सम/STM
1 individu/STM + al/SUF
1 २४५/STM
28 ykok/STM
1 अमर/STM
4 lokZf/STM
1 systems/STM
2 ईद/STM
24 1/STM
1 bio/STM + logist/STM
1 २५/STM
1 १९/STM + ८/STM + ७/STM
1 science/STM + s/STM
2 218/STM
1 Prim/STM + al/SUF
1 glyph/STM
2 tkrs/STM
4 tkrh/STM
2 ksafd/STM
3 छठ/STM
1 Optics/STM
1 explanatory/STM
2 79/STM
2 folwfo/STM
1 critic/STM + al/SUF
2 v/STM
1 ख/STM
2 hiksa/STM
6 उदय/STM
2 deh/STM
1 अवयव/STM
4 पथ/STM
2 cu/STM
1 १५६४/STM
2 vesfjdk/STM
4 djhc/STM
1 बजट/STM
1 अधययन/STM
2 कह/STM + कर/STM
62 esa/STM
2 Infinity/STM
14 fNnz/STM
6 s/STM
2 दल/STM
2 8/STM
27 ॐ/STM
2 भ/STM + जन/STM
1 748/STM
1 आस/STM
1 ३९/STM
4 gksrs/STM
2 १८९६/STM
4 धन/STM
1 Technique/STM
2 ekxZ/STM
13 मन/STM
2 nh/STM
4 n/STM
2 सहज/STM
7 नए/STM
1 ii/STM
1 emotion/STM
1 33/STM
# Time used (secs): 0
